buy,sell
7214000,7215000
7210000,7212000
7213000,7214000
7207000,7210000
7213000,7216000
7211000,7216000
7218000,7219000
7216000,7225000
7221000,7225000
7221000,7224000
7217000,7226000
7226000,7232000
7228000,7232000
7213000,7230000
7213000,7222000
7213000,7215000
7210000,7213000
7222000,7232000
7216000,7221000
7223000,7229000
7226000,7230000
7224000,7230000
7233000,7240000
7233000,7245000
7233000,7239000
7234000,7237000
7224000,7231000
7224000,7226000
7224000,7225000
7224000,7230000
7223000,7224000
7222000,7223000
7222000,7225000
7223000,7225000
7221000,7222000
7220000,7221000
7218000,7221000
7224000,7228000
7227000,7229000
7225000,7226000
7226000,7229000
7226000,7227000
7225000,7226000
7221000,7224000
7223000,7224000
7214000,7217000
7211000,7217000
7218000,7221000
7218000,7224000
7214000,7217000
7212000,7215000
7206000,7220000
7212000,7213000
7211000,7212000
7213000,7214000
7214000,7218000
7215000,7218000
7216000,7220000
7217000,7218000
7211000,7215000
7211000,7213000
7212000,7213000
7210000,7210000
7207000,7228000
7213000,7214000
7213000,7220000
7205000,7221000
7215000,7229000
7213000,7225000
7220000,7226000
7212000,7229000
7224000,7226000
7231000,7241000
7223000,7237000
7225000,7227000
7225000,7232000
7225000,7231000
7217000,7234000
7219000,7225000
7231000,7232000
7229000,7235000
7218000,7227000
7218000,7229000
7213000,7217000
7213000,7230000
7207000,7230000
7218000,7225000
7218000,7225000
7211000,7220000
7211000,7217000
7210000,7225000
7213000,7220000
7205000,7219000
7212000,7213000
7201000,7215000
7202000,7209000
7208000,7224000
7212000,7228000
7201000,7210000
7210000,7213000
7214000,7225000
7210000,7220000
7216000,7226000
7221000,7227000
7223000,7228000
7220000,7230000
7221000,7230000
7221000,7230000
7231000,7232000
7232000,7236000
7238000,7241000
7233000,7235000
7232000,7240000
7238000,7241000
7230000,7233000
7230000,7232000
7230000,7232000
7229000,7230000
7222000,7229000
7221000,7222000
7223000,7224000
7226000,7229000
7227000,7228000
7240000,7249000
7238000,7242000
7224000,7240000
7225000,7243000
7235000,7245000
7255000,7259000
7310000,7319000
7317000,7318000
7312000,7324000
7300000,7314000
7289000,7300000
7291000,7297000
7290000,7294000
7284000,7288000
7284000,7290000
7294000,7295000
7286000,7289000
7288000,7288000
7285000,7286000
7288000,7289000
7299000,7300000
7293000,7297000
7295000,7300000
7295000,7300000
7296000,7297000
7309000,7312000
7316000,7317000
7324000,7325000
7330000,7331000
7332000,7351000
7316000,7327000
7347000,7350000
7345000,7355000
7350000,7354000
7346000,7352000
7350000,7352000
7338000,7346000
7328000,7331000
7328000,7330000
7325000,7330000
7315000,7327000
7315000,7316000
7324000,7330000
7326000,7329000
7329000,7333000
7320000,7326000
7317000,7318000
7308000,7310000
7310000,7312000
7330000,7330000
7308000,7309000
7308000,7310000
7310000,7325000
7312000,7323000
7313000,7322000
7315000,7322000
7313000,7315000
7310000,7312000
7312000,7315000
7314000,7315000
7308000,7309000
7300000,7304000
7300000,7301000
7300000,7301000
7302000,7304000
7297000,7312000
7297000,7308000
7304000,7309000
7309000,7310000
7305000,7309000
7306000,7310000
7309000,7320000
7315000,7320000
7315000,7320000
7310000,7313000
7315000,7316000
7316000,7318000
7316000,7319000
7314000,7317000
7314000,7317000
7316000,7319000
7317000,7318000
7319000,7320000
7324000,7327000
7327000,7333000
7324000,7326000
7317000,7318000
7317000,7323000
7324000,7327000
7323000,7325000
7320000,7322000
7317000,7321000
7318000,7320000
7317000,7318000
7315000,7317000
7308000,7320000
7314000,7319000
7305000,7314000
7310000,7311000
7321000,7332000
7316000,7330000
7330000,7335000
7331000,7335000
7335000,7339000
7334000,7343000
7331000,7347000
7326000,7341000
7330000,7341000
7333000,7338000
7338000,7342000
7338000,7341000
7338000,7344000
7336000,7341000
7333000,7335000
7333000,7334000
7319000,7326000
7333000,7334000
7335000,7337000
7334000,7335000
7334000,7335000
7334000,7335000
7334000,7336000
7334000,7336000
7335000,7336000
7329000,7336000
7329000,7335000
7330000,7331000
7333000,7337000
7333000,7340000
7335000,7340000
7334000,7340000
7334000,7337000
7334000,7336000
7340000,7343000
7337000,7342000
7337000,7342000
7339000,7342000
7338000,7343000
7331000,7334000
7325000,7328000
7331000,7332000
7334000,7338000
7335000,7336000
7337000,7339000
7337000,7342000
7341000,7342000
7339000,7341000
7336000,7337000
7335000,7336000
7337000,7338000
7333000,7334000
7333000,7334000
7334000,7335000
7333000,7334000
7333000,7334000
7334000,7336000
7334000,7336000
7333000,7334000
7334000,7335000
7333000,7334000
7334000,7335000
7331000,7332000
7331000,7335000
7334000,7335000
7331000,7337000
7328000,7336000
7329000,7330000
7329000,7330000
7327000,7328000
7330000,7331000
7331000,7336000
7336000,7337000
7329000,7330000
7325000,7327000
7325000,7326000
7314000,7315000
7315000,7321000
7310000,7312000
7306000,7308000
7303000,7308000
7297000,7300000
7300000,7302000
7295000,7299000
7297000,7300000
7296000,7297000
7300000,7304000
7310000,7312000
7310000,7311000
7306000,7310000
7305000,7309000
7304000,7310000
7302000,7304000
7298000,7301000
7298000,7300000
7298000,7299000
7295000,7300000
7302000,7305000
7301000,7302000
7302000,7317000
7302000,7316000
7305000,7307000
7310000,7311000
7301000,7309000
7300000,7307000
7301000,7306000
7320000.0,7321000.0
7320000.0,7321000.0
7316000.0,7321000.0
7313000.0,7320000.0
7310000.0,7311000.0
7314000.0,7320000.0
7317000.0,7318000.0
7312000.0,7319000.0
7314000.0,7315000.0
7316000.0,7321000.0
7315000.0,7320000.0
7316000.0,7318000.0
7315000.0,7316000.0
7319000.0,7320000.0
7315000.0,7317000.0
7315000.0,7320000.0
7317000.0,7320000.0
7321000.0,7322000.0
7320000,7324000
7320000.0,7324000.0
7319000.0,7329000.0
7321000.0,7325000.0
7319000.0,7321000.0
7316000.0,7319000.0
7314000.0,7316000.0
7314000.0,7319000.0
7312000.0,7315000.0
7310000.0,7313000.0
7314000.0,7319000.0
7315000.0,7319000.0
7319000.0,7320000.0
7319000.0,7320000.0
7320000.0,7324000.0
7323000.0,7333000.0
7319000.0,7321000.0
7318000.0,7320000.0
7312000.0,7314000.0
7312000.0,7313000.0
7312000.0,7316000.0
7316000.0,7318000.0
7311000.0,7313000.0
7306000.0,7309000.0
7312000.0,7313000.0
7310000.0,7312000.0
7314000.0,7319000.0
7316000.0,7319000.0
7318000.0,7319000.0
7315000.0,7320000.0
7317000.0,7323000.0
7317000.0,7319000.0
7318000.0,7320000.0
7318000.0,7322000.0
7314000.0,7322000.0
7320000.0,7322000.0
7315000.0,7321000.0
7311000.0,7316000.0
7310000.0,7315000.0
7310000.0,7313000.0
7309000.0,7312000.0
7309000.0,7310000.0
7308000.0,7309000.0
7307000.0,7308000.0
7307000.0,7309000.0
7308000.0,7309000.0
7308000.0,7309000.0
7309000.0,7310000.0
7313000.0,7314000.0
7309000.0,7310000.0
7316000.0,7320000.0
7316000.0,7320000.0
7325000.0,7326000.0
7321000.0,7324000.0
7311000.0,7321000.0
7300000.0,7316000.0
7310000.0,7314000.0
7304000.0,7318000.0
7314000.0,7318000.0
7306000.0,7324000.0
7320000.0,7321000.0
7319000.0,7320000.0
7313000.0,7316000.0
7312000.0,7318000.0
7307000.0,7309000.0
7307000.0,7309000.0
7306000.0,7307000.0
7307000.0,7316000.0
7300000.0,7305000.0
7305000.0,7306000.0
7298000.0,7306000.0
7300000.0,7304000.0
7292000.0,7298000.0
7297000.0,7298000.0
7294000.0,7299000.0
7292000.0,7294000.0
7291000.0,7297000.0
7291000.0,7299000.0
7294000.0,7304000.0
7295000.0,7298000.0
7291000.0,7302000.0
7270000.0,7284000.0
7261000.0,7272000.0
7267000.0,7270000.0
7260000.0,7271000.0
7264000.0,7268000.0
7261000.0,7264000.0
7255000.0,7263000.0
7255000.0,7257000.0
7254000.0,7256000.0
7250000.0,7252000.0
7241000.0,7245000.0
7254000.0,7255000.0
7260000.0,7264000.0
7264000.0,7267000.0
7254000.0,7258000.0
7253000.0,7265000.0
7253000.0,7263000.0
7253000.0,7261000.0
7262000.0,7264000.0
7268000.0,7270000.0
7266000.0,7270000.0
7273000.0,7274000.0
7273000.0,7274000.0
7273000.0,7274000.0
7274000.0,7277000.0
7274000.0,7275000.0
7276000.0,7292000.0
7275000.0,7290000.0
7275000.0,7277000.0
7276000.0,7290000.0
7275000.0,7276000.0
7274000.0,7275000.0
7275000.0,7287000.0
7275000.0,7288000.0
7275000.0,7276000.0
7275000.0,7276000.0
7274000.0,7275000.0
7273000.0,7286000.0
7275000.0,7283000.0
7272000.0,7283000.0
7275000.0,7283000.0
7276000.0,7290000.0
7272000.0,7275000.0
7271000.0,7275000.0
7272000.0,7276000.0
7280000.0,7288000.0
7281000.0,7285000.0
7280000.0,7287000.0
7275000.0,7281000.0
7276000.0,7281000.0
7280000.0,7287000.0
7281000.0,7288000.0
7280000.0,7283000.0
7280000.0,7290000.0
7280000.0,7290000.0
7280000.0,7289000.0
7278000.0,7287000.0
7278000.0,7287000.0
7277000.0,7286000.0
7280000.0,7285000.0
7280000.0,7283000.0
7281000.0,7283000.0
7279000.0,7283000.0
7277000.0,7286000.0
7277000.0,7285000.0
7280000.0,7285000.0
7292000.0,7298000.0
7291000.0,7297000.0
7288000.0,7291000.0
7282000.0,7297000.0
7284000.0,7285000.0
7280000.0,7283000.0
7278000.0,7279000.0
7279000.0,7280000.0
7279000.0,7280000.0
7279000.0,7280000.0
7276000.0,7279000.0
7278000.0,7279000.0
7291000.0,7297000.0
7290000,7300000
7289000.0,7294000.0
7289000.0,7298000.0
7281000.0,7298000.0
7282000.0,7291000.0
7285000.0,7293000.0
7288000.0,7291000.0
7285000.0,7286000.0
7286000.0,7292000.0
7290000.0,7293000.0
7293000.0,7294000.0
7291000.0,7297000.0
7294000.0,7300000.0
7299000.0,7304000.0
7303000.0,7304000.0
7302000.0,7308000.0
7305000.0,7311000.0
7304000.0,7314000.0
7314000.0,7315000.0
7303000.0,7318000.0
7320000.0,7323000.0
7317000.0,7320000.0
7313000.0,7323000.0
7311000.0,7323000.0
7324000.0,7326000.0
7326000.0,7328000.0
7326000.0,7329000.0
7326000.0,7329000.0
7325000.0,7330000.0
7325000.0,7329000.0
7308000.0,7320000.0
7308000.0,7318000.0
7309000.0,7310000.0
7308000.0,7318000.0
7308000.0,7316000.0
7307000.0,7309000.0
7306000.0,7309000.0
7311000.0,7324000.0
7310000.0,7325000.0
7309000.0,7325000.0
7315000.0,7328000.0
7320000.0,7325000.0
7317000.0,7320000.0
7316000.0,7319000.0
7316000.0,7319000.0
7312000.0,7315000.0
7312000.0,7314000.0
7313000.0,7315000.0
7313000.0,7315000.0
7317000.0,7318000.0
7318000.0,7320000.0
7322000.0,7327000.0
7317000.0,7324000.0
7325000.0,7328000.0
7322000.0,7324000.0
7322000.0,7323000.0
7322000.0,7324000.0
7323000.0,7328000.0
7323000.0,7325000.0
